"","taxon","lfc_(Intercept)","lfc_Crohn_case_control","se_(Intercept)","se_Crohn_case_control","W_(Intercept)","W_Crohn_case_control","p_(Intercept)","p_Crohn_case_control","q_(Intercept)","q_Crohn_case_control","diff_(Intercept)","diff_Crohn_case_control","passed_ss_(Intercept)","passed_ss_Crohn_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",-0.143226844863018,0.225857804043534,0.141871316409311,0.240653485468334,-1.00955463364981,0.938518732043269,0.31608949333014,0.351115672473909,1,1,FALSE,FALSE,TRUE,TRUE
"2","41f01f3e3cbf6beb908ae1ebb553208e",-0.74127789975137,0.772491929991971,0.0671346538918821,0.184860096196041,-11.0416581717271,4.17879221036842,2.72344443820353e-07,0.00153968858657939,1.55236332977601e-05,0.078524117915549,TRUE,TRUE,FALSE,FALSE
"3","bc6f21affc11d8c4a5d6454f728e4add",-0.0970118592921623,-1.34299407694464,0.105155741062447,0.175833493049378,-0.922554092738998,-7.63787406855135,0.374416660558806,6.0217093574609e-06,1,0.00033721572401781,FALSE,TRUE,FALSE,TRUE
"4","c2ba82ad21732bcd0ef11c61560cf91c",-0.207909905423419,0.337542688636914,0.175643468922418,0.276500528840769,-1.18370416331992,1.22076688262429,0.240977378320093,0.226723655204271,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",0.105249755051149,-0.268373902520349,0.215253027790485,0.355202359508947,0.488958302382592,-0.755552139043687,0.626317303766292,0.452316049067598,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-1.23285200080072,1.3675372709383,0.0867871444268232,0.169371154006947,-14.2054679750436,8.07420412853893,2.0346791295248e-06,8.59269381254801e-05,0.000113942031253389,0.0047259815969014,TRUE,TRUE,FALSE,FALSE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",0.0404082802879353,-0.111672603838505,0.224704177565884,0.31996992733694,0.17982878968099,-0.34900968590373,0.85784642279954,0.728210110031528,1,1,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",-0.139622979670856,0.298443446730514,0.0627496905885944,0.192455053226355,-2.22507837666111,1.55071764408026,0.0479375388231707,0.149246229739966,1,1,FALSE,FALSE,TRUE,FALSE
"9","0f898170dbe4592000abdcde0dd2ba2e",0.0248626509027897,-0.0293660748842462,0.155645837271207,0.261904272631867,0.159738617740656,-0.112125222659209,0.873505263192035,0.911015905515728,1,1,FALSE,FALSE,TRUE,TRUE
"10","b5c3abd1c966bb0457d8dfe34c35b160",0.111706647509965,-0.149705153224469,0.156375739788916,0.274208727205377,0.714347683731198,-0.545953277090056,0.478206790175272,0.587432770145971,1,1,FALSE,FALSE,TRUE,TRUE
"11","ca39c1dfb5e738c293917a0ab7391c33",0.0158564147081143,0.200341805987816,0.0695882143836215,0.208657326570313,0.227860634858397,0.960147478551658,0.821958521521362,0.347906443705319,1,1,FALSE,FALSE,TRUE,FALSE
"12","7d669e880492b330a9c9c649f65c2ba6",-0.12922436645177,0.0607626378078323,0.104787004293752,0.201035180528023,-1.23320985577096,0.302248778787065,0.225489461790363,0.764201828615419,1,1,FALSE,FALSE,TRUE,TRUE
"13","b67b924653e2ba692fd3ea7c8f75c2ee",0.0117264534902614,-0.271328668193933,0.0582373113263153,0.160965009515081,0.201356367991573,-1.68563757434818,0.844897241090509,0.126145948142629,1,1,FALSE,FALSE,TRUE,TRUE
"14","632a77028290d1ecbd9bfe2958610b8c",0.171456015076123,-0.288004465956682,0.144038678395183,0.258157762890073,1.19034704418572,-1.11561419936583,0.237520278623735,0.268012594574829,1,1,FALSE,FALSE,TRUE,TRUE
"15","5b239eddc0c4c102c7f721bae475cf22",0.13036566618118,-0.359040289837901,0.182987647852717,0.293143280851041,0.712428777083951,-1.22479454004728,0.478567296122465,0.224758331532468,1,1,FALSE,FALSE,TRUE,FALSE
"16","51c79d7c5c2260b32f6ad5b82272898e",-0.791848952670011,1.48588957255434,0.091769622096541,0.178560052418038,-8.62866092917971,8.32151174035072,3.15954148662448e-06,4.48238279906139e-06,0.000173774781764347,0.000255495819546499,TRUE,TRUE,FALSE,FALSE
"17","20f887a0f58476d52027e0798805c1d2",0.0427862492950762,-0.247908939270235,0.183810223354054,0.253976841725187,0.232774045503778,-0.976108441959767,0.817186112787273,0.335184084722938,1,1,FALSE,FALSE,TRUE,TRUE
"18","3a4c1eb8dbc9f93fbbfbd8702754c0df",0.143590321704566,-0.619864696750359,0.147188798768587,0.22313631834136,0.975551963912152,-2.77796416718713,0.33428113739588,0.00783550082905619,1,0.383939540623753,FALSE,FALSE,FALSE,FALSE
"19","969732ae717bf5a9282f4781499aadb4",0.487743166747588,-0.937228841099764,0.17068821146118,0.333467195327044,2.85750938844723,-2.81055784267052,0.00550563340022742,0.00628663798333005,0.280787303411598,0.314331899166502,FALSE,FALSE,FALSE,FALSE
"20","81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.0789344579467749,0.0946526928079598,0.186009088197109,0.278223363995425,-0.42435807148912,0.340203969388841,0.672552715539484,0.734679940316577,1,1,FALSE,FALSE,TRUE,TRUE
"21","26de4690cd2c89c490c37a8d1418d67a",0.150616200317663,-0.460346616164689,0.1407977440831,0.226533265494369,1.06973447123391,-2.03213693653364,0.288756815795143,0.0462946829089804,1,1,FALSE,FALSE,TRUE,FALSE
"22","c5bd025300b4ef0c652dd11cef56ac29",-0.109884448308107,0.132099731189525,0.183288051646682,0.255246346264848,-0.599517793554415,0.517538186628754,0.55190250480359,0.60737285873227,1,1,FALSE,FALSE,FALSE,FALSE
"23","95251fbafeb9956f566a3da93d145d63",0.134889504237785,-0.292607338042944,0.142638658074893,0.244022424689359,0.945672835529344,-1.19910019915356,0.347312450572799,0.234214291328563,1,1,FALSE,FALSE,TRUE,TRUE
"24","cb3f42ad378ddeda014d895db355586b",0.254503204342091,-0.539601070946365,0.127233950941983,0.226488697178928,2.00027746099107,-2.38246357397727,0.0490907578308059,0.0197318182138031,1,0.94712727426255,FALSE,FALSE,FALSE,FALSE
"25","1e2270e7a0c8c2e951edc6813b58451a",0.0806930804930876,-0.254815349260249,0.157222927015073,0.255696796229143,0.513239907340941,-0.99655276490792,0.609422968727722,0.322463692122701,1,1,FALSE,FALSE,TRUE,TRUE
"26","820d3c5095323f85949bc959fd15d1b7",0.0508395979836845,-0.115424307896989,0.139935665734371,0.246846220877321,0.363306936204451,-0.467596009721185,0.71761142754173,0.64171293605232,1,1,FALSE,FALSE,TRUE,TRUE
"27","92fb114641e27921122496428e2ef0dd",0.00334588346869166,-0.0157532111862081,0.0510106727767114,0.176131964816418,0.0655918317983683,-0.0894398197546232,0.948879701386322,0.930340082403636,1,1,FALSE,FALSE,TRUE,FALSE
"28","5431c93e93b57f0b74748eb702ea1e72",-0.0691197527628031,0.121440043355018,0.208057562102016,0.299706556575107,-0.332214566317526,0.405196485331429,0.740641769756532,0.686471431810421,1,1,FALSE,FALSE,TRUE,TRUE
"29","7c821085a5548386a8d91fe359fa3ff3",0.369439026864017,-0.683970489532471,0.154278055838426,0.292440629197849,2.39463107605483,-2.33883537799987,0.0190368793058936,0.0219055497503812,0.913770206682893,1,FALSE,FALSE,FALSE,FALSE
"30","3a8a7409bdc33da14a01ec3e3313b9a7",0.191941748903365,-0.766649678104089,0.0490104050673542,0.148783413511993,3.91634691938545,-5.15278995156466,0.00577609562271695,0.00131993060755394,0.288804781135848,0.0686363915928048,FALSE,TRUE,TRUE,FALSE
"31","564e9f4d70915c0026898422d57b1431",0.196851922881643,-0.991712970108492,0.137555851973685,0.20334532779805,1.43106905345839,-4.87698921262356,0.176008464000661,0.000302236348720288,1,0.0163207628308955,FALSE,TRUE,TRUE,TRUE
"32","386a607b118090dd71bfc8b4b4081447",-0.0231534518353001,0.0807208500989445,0.145745816988054,0.220582105921095,-0.158861861793247,0.365944688767363,0.874193642274161,0.715409832076027,1,1,FALSE,FALSE,TRUE,TRUE
"33","afce1dc2c06acb90ad5d3da0fffbcd02",-0.042077925797604,-0.105217432363019,0.145396953586851,0.267195838767547,-0.289400326207449,-0.393783948314236,0.773733481063756,0.695781110742655,1,1,FALSE,FALSE,TRUE,TRUE
"34","1c6bf8efe709f63c28e0225da6870395",0.0354195531821971,-0.0159315421688306,0.118931632528324,0.213047906855468,0.297814403361207,-0.074779153684146,0.7666366311263,0.940581881797143,1,1,FALSE,FALSE,TRUE,TRUE
"35","f2d099ef5556f02539ded15181a3d994",0.121919135985755,-0.259205055276064,0.183269418286864,0.279002434759041,0.665245391868489,-0.929042269827952,0.507934191113993,0.355847698484349,1,1,FALSE,FALSE,TRUE,FALSE
"36","304a3df568087b761af6bca76a3816aa",-0.390741255941212,0.080756805230714,0.0690974334865603,0.160674992629758,-5.65493153978305,0.502609671293412,0.000211011594180944,0.62612186328962,0.01118361449159,1,TRUE,FALSE,FALSE,TRUE
"37","2ddd18d49a8163e0fc79e28ea6273254",0.12367858575467,-0.497026750225263,0.188806288816511,0.295731922902778,0.655055435546775,-1.68066654876708,0.515113925808114,0.0983980440122839,1,1,FALSE,FALSE,TRUE,FALSE
"38","42604f7f8bfc866837a5370b4b667382",-0.156511399824093,-0.0364183915587965,0.145178353982818,0.214959587413361,-1.07806291730388,-0.169419712779617,0.28628439074498,0.8661640213307,1,1,FALSE,FALSE,TRUE,FALSE
"39","de4edf45ab75f6490e1ada65b0e0306f",-0.00972377611295884,-0.713082150194068,0.0823869645041119,0.168195720250526,-0.118025663058305,-4.2395974709222,0.907516324187932,0.000624612187627424,1,0.0331044459442535,FALSE,TRUE,TRUE,FALSE
"40","e1a9800482df461df81429b3b8f859a1",-0.069100239666244,-0.105518256470114,0.139364470707234,0.221169193071536,-0.495823930701855,-0.47709292150822,0.622107809874873,0.635295024668201,1,1,FALSE,FALSE,TRUE,TRUE
"41","c38ee4acf990375c9b9df651cf77bf7c",-0.229902463517498,0.293091610282653,0.153825710549456,0.278737260784364,-1.49456461274452,1.05149777772048,0.140183504508361,0.297177777154364,1,1,FALSE,FALSE,TRUE,TRUE
"42","321b7763c5946d79f50284281735d5b0",-0.265742295424934,0.0308658098544814,0.135066222560454,0.212888252309625,-1.96749631689737,0.14498597043105,0.0587563385586766,0.885724936211989,1,1,FALSE,FALSE,FALSE,FALSE
"43","01491b7ad3b35c7e644dd24ae831bee2",-0.0999578252090654,-0.0857266245005405,0.12754679222683,0.216843418024709,-0.783695328309786,-0.395338836112479,0.436353803542119,0.694018656446792,1,1,FALSE,FALSE,TRUE,TRUE
"44","a67690654fca1914946ee270222b7247",0.0690078319968091,-0.302364008830761,0.138286477038522,0.250333328410064,0.499020826003007,-1.20784559831149,0.619352015763994,0.23123037008864,1,1,FALSE,FALSE,FALSE,FALSE
"45","95c08da59378a0eb674c2b7dab943428",-0.0111684141912305,-0.106386288806642,0.129065478201339,0.219532014605345,-0.0865329315543854,-0.484604894634133,0.931300868204066,0.629537185457241,1,1,FALSE,FALSE,TRUE,TRUE
"46","6a49b0df18b1abfe220ecc00d5cbf296",-0.0616006819454554,-0.0127523642917979,0.142498042156982,0.220968558672466,-0.432291426696189,-0.0577112163305562,0.667029480532276,0.954164257307284,1,1,FALSE,FALSE,TRUE,TRUE
"47","5c4a1032c65d0d99d6d6bee379b63a2c",-0.160867714645982,0.0195314655207516,0.170373146249494,0.256408966743265,-0.944208158311568,0.076173098658862,0.350594505827211,0.939651876961069,1,1,FALSE,FALSE,TRUE,TRUE
"48","c4228a5878f56464e576996e95eefc5e",-0.343055316671572,0.27625689404201,0.130392665210739,0.215724048257557,-2.63094029190315,1.28060314217811,0.0121301531398788,0.207896944318124,0.594377503854061,1,FALSE,FALSE,TRUE,FALSE
"49","f55e6f0203460ecfb665c9dbc579b714",-0.0437166846104793,-0.129838255966398,0.154094966420318,0.262888057619315,-0.283699627742773,-0.493891799963067,0.777686842028163,0.623314291701372,1,1,FALSE,FALSE,TRUE,TRUE
"50","b73c9d186b67a61bce0ba79c990aef39",0.0922131677735215,-0.436310068135166,0.14402543308902,0.228361531471868,0.640256139459245,-1.91061106186755,0.525568273010637,0.0630648887526068,1,1,FALSE,FALSE,FALSE,FALSE
"51","6960eba3db7d4d863d042ab497d7481a",-0.0044814867765566,-0.259062973205176,0.142465549649678,0.217779336434352,-0.0314566348677035,-1.18956636312127,0.975044483427402,0.240455629861723,1,1,FALSE,FALSE,TRUE,FALSE
"52","d2a7d567b64364c09cf4bea1e3f5aef5",-0.456898951174177,0.239920390881862,0.0504845164093712,0.160658783655286,-9.05027885122746,1.49335371165664,8.15748520961459e-06,0.169548328558703,0.000440504201319188,1,TRUE,FALSE,FALSE,TRUE
"53","6545176af2fa076f03140433793c0d00",0.0623260098297268,-0.107262258064634,0.146034601060296,0.255544195235221,0.426789331961081,-0.419740538288896,0.670806254432837,0.675924866937793,1,1,FALSE,FALSE,TRUE,TRUE
"54","ebc68f0a3a40711c1b0df994d93a6cac",-0.374150506240453,-0.102988674648492,0.0703403539416291,0.168314241628359,-5.31914449209249,-0.611883306202292,0.00110029145996632,0.559955752640867,0.0572151559182486,1,TRUE,FALSE,FALSE,TRUE
"55","719ab97ff4cf3c7b809b054134f4dc70",-0.0156391535224876,0.0229785704610903,0.223147267225462,0.354543541775505,-0.0700844501343869,0.0648117022411882,0.944315495755459,0.948498691819951,1,1,FALSE,FALSE,TRUE,FALSE
"56","3fae853851bfe19cdb50e15749f373b6",-0.0290308500573724,0.112969264310309,0.118264080293091,0.215770483336984,-0.245474788164132,0.523562178492586,0.806733560424489,0.602067487684759,1,1,FALSE,FALSE,TRUE,TRUE
"57","a99fb503372ef5103fa41e0c743bbad2",-0.152147772019151,0.255062061267496,0.170343548033572,0.254145382422848,-0.893181889044398,1.00360690733748,0.374864451576404,0.319074759476417,1,1,FALSE,FALSE,TRUE,TRUE
